GB GCA 000431455.1	5166795
GB GCA 000431495.1	5198219
GB GCA 000431515.1	5197473
GB GCA 000431535.1	5197472
GB GCA 000431555.1	5197553
GB GCA 000431575.1	5198459
GB GCA 000431595.1	5157971
GB GCA 000431655.1	5197248
GB GCA 000431675.1	5160530
GB GCA 000431735.1	5196954
GB GCA 000431775.1	5197276
GB GCA 000431795.1	5197196
GB GCA 000431815.1	5196598
GB GCA 000431835.1	5174115
GB GCA 000431855.1	5197192
GB GCA 000431875.1	5198327
GB GCA 000431895.1	5196952
GB GCA 000431915.1	5160115
GB GCA 000431975.1	5160160
GB GCA 000431995.1	5197442
GB GCA 000432015.1	5197513
GB GCA 000432075.1	5197627
GB GCA 000432135.1	5198116
GB GCA 000432155.1	5196925
GB GCA 000432175.1	5196951
GB GCA 000432195.1	5198097
GB GCA 000432255.1	5196504
GB GCA 000432275.1	5166115
GB GCA 000432315.1	5197545
GB GCA 000432335.1	5198458
GB GCA 000432355.1	5196937
GB GCA 000432375.1	5198454
GB GCA 000432435.1	5196938
GB GCA 000432455.1	5197636
GB GCA 000432475.1	5197515
GB GCA 000432515.1	5159857
GB GCA 000432535.1	5159832
GB GCA 000432575.1	5197470
GB GCA 000432595.1	5197474
GB GCA 000432655.1	5159828
GB GCA 000432695.1	5159854
GB GCA 000432735.1	5159841
GB GCA 000432755.1	5196659
GB GCA 000432775.1	5160309
GB GCA 000432815.1	5196667
GB GCA 000432835.1	5197277
GB GCA 000432855.1	5198313
GB GCA 000432875.1	5198093
GB GCA 000432895.1	5198180
GB GCA 000432915.1	5198267
GB GCA 000432975.1	5197319
GB GCA 000432995.1	5197304
GB GCA 000433015.1	5198455
GB GCA 000433035.1	5200970
GB GCA 000433075.1	5196650
GB GCA 000433095.1	5197441
GB GCA 000433115.1	5197638
GB GCA 000433135.1	5197525
GB GCA 000433175.1	5160157
GB GCA 000433195.1	5198115
GB GCA 000433215.1	5196679
GB GCA 000433235.1	5171535
GB GCA 000433255.1	5198513
GB GCA 000433275.1	5198740
GB GCA 000433315.1	5198096
GB GCA 000433335.1	5197305
GB GCA 000433355.1	5160310
GB GCA 000433395.1	5197529
GB GCA 000433415.1	5197280
GB GCA 000433455.1	5196545
GB GCA 000433475.1	5196520
GB GCA 000433515.1	5198418
GB GCA 000433535.1	5196677
GB GCA 000433595.1	5197274
GB GCA 000433635.1	5197634
GB GCA 000433675.1	5197278
GB GCA 000433715.1	5159852
GB GCA 000433735.1	5197514
GB GCA 000433755.1	5197501
GB GCA 000433775.1	5165661
GB GCA 000433815.1	5196605
GB GCA 000433855.1	5160515
GB GCA 000433875.1	5198460
GB GCA 000433895.1	5160114
GB GCA 000433915.1	5197345
GB GCA 000433975.1	5197663
GB GCA 000433995.1	5198330
GB GCA 000434015.1	5197250
GB GCA 000434035.1	5197502
GB GCA 000434055.1	5197632
GB GCA 000434075.1	5198071
GB GCA 000434115.1	5196657
GB GCA 000434135.1	5169802
GB GCA 000434175.1	5196544
GB GCA 000434195.1	5197467
GB GCA 000434215.1	5159876
GB GCA 000434235.1	5160305
GB GCA 000434255.1	5197637
GB GCA 000434275.1	5196662
GB GCA 000434295.1	5169803
GB GCA 000434315.1	5196936
GB GCA 000434335.1	5197499
GB GCA 000434355.1	5198100
GB GCA 000434395.1	5197391
GB GCA 000434415.1	5196947
GB GCA 000434435.1	5198094
GB GCA 000434455.1	5160165
GB GCA 000434475.1	5198738
GB GCA 000434495.1	5197508
GB GCA 000434515.1	5160167
GB GCA 000434535.1	5160517
GB GCA 000434555.1	5197503
GB GCA 000434595.1	5197669
GB GCA 000434615.1	5197504
GB GCA 000434635.1	5198118
GB GCA 000434655.1	5197373
GB GCA 000434675.1	5197667
GB GCA 000434695.1	5197622
GB GCA 000434715.1	5198329
GB GCA 000434735.1	5159853
GB GCA 000434775.1	5160531
GB GCA 000434795.1	5196907
GB GCA 000434835.1	5197392
GB GCA 000434855.1	5166791
GB GCA 000434875.1	5159878
GB GCA 000434895.1	5198778
GB GCA 000434915.1	5197624
GB GCA 000434935.1	5159835
GB GCA 000434955.1	5198457
GB GCA 000434975.1	5160111
GB GCA 000434995.1	5198420
GB GCA 000435035.1	5160203
GB GCA 000435055.1	5197516
GB GCA 000435075.1	5159879
GB GCA 000435095.1	5159831
GB GCA 000435115.1	5159855
