SppName	Label	OttId	GbifId	ncbiId	Synonyms
Aethomys chrysophilus	Aethomys_chrysophilus_MURIDAE_RODENTIA	911457	gbif:2438176	ncbi:121561	Aethomys chrysophilus imago,Mus chrysophilus acticola,Mus voi
Aethomys ineptus	Aethomys_ineptus_MURIDAE_RODENTIA	411031	gbif:4264924	ncbi:284517	Mus chrysophilus pretoriae,Mus chrysophilus tzaneenensis,Aethomys chrysophilus magalakuini,Aethomys chrysophilus tongensis,Aethomys chrysophilus harei,Aethomys chrysophilus capricornis,Aethomys chrysophilus fouriei
Aethomys kaiseri	Aethomys_kaiseri_MURIDAE_RODENTIA	649436	gbif:2438175	ncbi:253247	Epimys kaiseri turneri,Mus walambae,Mus manteufeli
Aethomys namaquensis	Aethomys_namaquensis_MURIDAE_RODENTIA	742036	gbif:4264922	ncbi:472707	Aethomys namaquensis,Aethomys namaquensis siccatus,Aethomys namaquensis waterbergensis,Aethomys namaquensis calarius,Aethomys namaquensis namibensis,Praomys namaquensis capensis,Mus auricomis centralis,Mus namaquensis monticularis,Praomys namaquensis lechochloides,? namaquensis,Praomys namaquensis klaverensis,Praomys namaquensis drakensbergi,Mus arborarius,Mus lehocla,Mus avarillus,Mus auricomis
Ailuropoda melanoleuca	Ailuropoda_melanoleuca_URSIDAE_CARNIVORA	872573	gbif:2433399	ncbi:9646	Ailuropus melanoleucus,Aeluropus melanoleucus,Ursus melanoleucus
Ailurops ursinus	Ailurops_ursinus_PHALANGERIDAE_DIPROTODONTIA	193425	gbif:5219990	ncbi:165204	
Ailurus fulgens	Ailurus_fulgens_AILURIDAE_CARNIVORA	872562	gbif:5219446	ncbi:9649	
Akodon aerosus	Akodon_aerosus_CRICETIDAE_RODENTIA	421013	gbif:2437892	ncbi:10070	
Akodon affinis	Akodon_affinis_CRICETIDAE_RODENTIA	170298		ncbi:230186	
Akodon albiventer	Akodon_albiventer_CRICETIDAE_RODENTIA	299290	gbif:2437895	ncbi:251311	
Akodon azarae	Akodon_azarae_CRICETIDAE_RODENTIA	754324	gbif:2437878	ncbi:29095	Mus arenicola,Akodon azarae azarae,Akodon azarae bibianae,Mus azarae
Akodon boliviensis	Akodon_boliviensis_CRICETIDAE_RODENTIA	292086	gbif:2437897	ncbi:10072	
Akodon budini	Akodon_budini_CRICETIDAE_RODENTIA	837330	gbif:2437880	ncbi:291114	Hypsimys budini
Akodon cursor	Akodon_cursor_CRICETIDAE_RODENTIA	754322	gbif:2437913	ncbi:29096	
Akodon dayi	Akodon_dayi_CRICETIDAE_RODENTIA	837345	gbif:2437899	ncbi:291113	
Akodon dolores	Akodon_dolores_CRICETIDAE_RODENTIA	817138	gbif:2437882	ncbi:240584	
Akodon fumeus	Akodon_fumeus_CRICETIDAE_RODENTIA	837332	gbif:2437915	ncbi:291115	
Akodon iniscatus	Akodon_iniscatus_CRICETIDAE_RODENTIA	817145	gbif:2437886	ncbi:240588	
Akodon juninensis	Akodon_juninensis_CRICETIDAE_RODENTIA	292084	gbif:2437918	ncbi:10073	
Akodon kofordi	Akodon_kofordi_CRICETIDAE_RODENTIA	292090	gbif:2437888	ncbi:10074	
Akodon latebricola	Akodon_latebricola_CRICETIDAE_RODENTIA	694987	gbif:7684285	ncbi:992337	Neomicroxus latebricola,? latebricola
Akodon lindberghi	Akodon_lindberghi_CRICETIDAE_RODENTIA	837916	gbif:2437890	ncbi:106110	
